ds,yhat,yhat_lower,yhat_upper,metric
2019-03-16,2555.2860689724894,1643.6547752422448,3557.366787523761,txn_count
2019-03-17,3162.032496132158,2282.912943091974,4160.500381322787,txn_count
2019-03-18,3247.6252272385796,2332.62124919242,4171.792597217055,txn_count
2019-03-19,1967.9917822872706,984.9183646323113,2948.761525813063,txn_count
2019-03-20,1579.859868232654,666.8635612844973,2461.7217756184286,txn_count
2019-03-21,1780.3473549957343,882.0675766044011,2690.0205370928475,txn_count
2019-03-22,1834.9037982713435,884.3653563712328,2730.836115211492,txn_count
2019-03-23,2487.122262570359,1584.7969014453636,3394.0097730820626,txn_count
2019-03-24,3092.0196054691514,2204.0732786761696,3992.9229585513262,txn_count
2019-03-25,3178.222223234901,2315.38870692534,4122.411259414466,txn_count
2019-03-26,1901.455322999517,928.7839572418414,2837.9726973539405,txn_count
